Timestamp (MM/DD/YYYY HH:MM),Temperature (°C),Humidity (%),Co2 (ppm)
01/02/21 16:02:03,28.6,57.1%,400.00
01/02/21 16:03:03,28.6,57.7%,402.67
01/02/21 16:04:03,28.6,58.0%,401.33
01/02/21 16:05:03,28.8,57.8%,402.00
01/02/21 16:06:03,28.9,57.5%,401.50
01/02/21 16:07:03,28.9,57.0%,402.83
01/02/21 16:08:03,28.9,57.5%,402.50
01/02/21 16:09:03,28.8,56.9%,403.00
