Timestamp (MM/DD/YYYY HH:MM),Temperature (°C),Humidity (%),Co2 (ppm)
12/07/20 01:32:04,29.1,60.9%,559
12/07/20 01:33:04,29.1,60.8%,559
12/07/20 01:34:04,29.1,61.0%,553
12/07/20 01:35:04,29.1,60.6%,552
12/07/20 01:36:04,29.2,60.0%,555
12/07/20 01:37:04,29.2,60.4%,559
12/07/20 01:38:04,29.2,60.2%,559
12/07/20 01:39:04,29.0,60.5%,556
